,id_device,date,en_L1,cons_en_L1,en_L2,cons_en_L2,en_L3,cons_en_L3,cons_glbal
0,34,2019-01-07,483329.9039154053,483329.9039154053,1028744.8802261353,1028744.8802261353,252300.601852417,252300.601852417,1764375.3859939575
1,34,2019-01-08,1455765.8567123413,971204.890296936,3042600.669052124,2011246.2263259888,537153.271987915,284437.04513549805,3266888.161758423
2,34,2019-01-09,2259641.9738998413,802799.146484375,4936128.471786499,1890876.04296875,881002.3120269775,343448.85009765625,3037124.0395507812
3,34,2019-01-10,2979164.2677230835,718457.9188232422,6804273.049697876,1865696.077911377,1066965.52003479,185683.6142578125,2769837.6109924316
4,34,2019-01-11,3546127.421699524,566165.3336639404,8567329.830177307,1760600.1242294312,1095922.7791290283,28824.32550048828,2355589.78339386
5,34,2019-01-12,4117339.3946914673,570535.5354919434,10473027.944747925,1903258.2395706177,1130734.890274048,34812.11114501953,2508605.8862075806
6,34,2020-01-01,4649752.745552063,531595.5383605957,12345715.799125671,1869964.7293777463,1155888.002105713,25153.11183166504,2426713.3795700073
7,34,2020-01-02,5157760.232681274,507340.1746292114,14053954.369911194,1705769.5082855225,1194065.0015411377,38176.999435424805,2251286.6823501587
8,34,2020-01-03,5708293.413696289,549744.6399993896,15905981.676740646,1849520.5392513275,1249906.6174621582,55695.61128234863,2454960.790533066
9,34,2020-01-04,6310638.903442383,601515.4497070312,17726417.504865646,1817890.251953125,1351070.2132873535,101163.59582519533,2520569.2974853516
10,34,2020-01-05,7164779.823760986,853324.6078186035,19509566.724523544,1780546.969657898,1545351.4424591064,194146.51042175293,2828018.0878982544
11,34,2020-01-06,8348494.511138916,1182345.6014404297,21303581.89895439,1791627.4713058472,1735807.5607757568,190185.1554260254,3164158.2281723022
12,34,2020-01-07,9760106.037506104,1409710.0341796875,23295641.49563408,1989357.6279296875,2095850.3039398196,359637.2861328125,3758704.9482421875
13,34,2020-01-08,11261158.87930298,1499033.607421875,25384963.657011032,2086578.286376953,2655161.687789917,558753.6182250977,4144365.512023926
14,34,2020-01-09,12518326.07095337,1255387.5041503906,27248677.677274704,1861348.770263672,2914022.4865264893,258591.01748657227,3375327.2919006348
15,34,2020-01-10,13681709.63345337,1161586.046875,29109817.802274704,1858337.625,3069978.7501983643,155709.095703125,3175632.767578125
16,34,2020-01-11,14739696.819610596,1056499.8111572266,30871784.182584763,1759559.1303100586,3141773.9787139893,71658.337890625,2887717.27935791
17,34,2020-01-12,15962704.632110596,1221783.25,32356985.151334763,1483001.84375,3166790.9132843018,25016.9345703125,2729802.0283203125
18,34,2021-01-01,17222722.632110596,1258260.59375,33814882.37008476,1455736.5625,3180249.534378052,13458.62109375,2727455.77734375
19,34,2021-01-02,18369048.600372314,1144571.7182617188,35143109.261686325,1326264.0166015625,3188814.607727051,8565.073348999023,2479400.8082122803
20,34,2021-01-03,19353179.756622314,982490.90625,36270123.792936325,1125059.75,3212608.825988769,23794.21826171875,2131344.8745117188
