id_device;date;en_L1;cons_en_L1;en_L2;cons_en_L2;en_L3;cons_en_L3
34;16/07/2019;16806.690048217773;16806.690048217773;36970.077491760254;36970.077491760254;10676.480270385742;10676.480270385742
34;17/07/2019;46167.96250915527;27972.06640625;102623.95835113525;62754.52734375;28924.793258666992;17547.94970703125
34;18/07/2019;75939.79454040527;28518.79296875;168898.33335113525;63544.9609375;47671.60966491699;18079.423828125
34;19/07/2019;108322.95079040527;31135.8359375;236059.44272613525;64528.4375;64531.97294616699;16203.65625
34;20/07/2019;138399.87266540527;28962.015625;301579.97397613525;63169.171875;80859.51591491699;15917.203125
34;21/07/2019;172660.93516540527;32938.140625;370113.84897613525;65698.53125;98944.96122741699;17272.8203125
34;22/07/2019;202566.62266540527;28692.921875;435511.31772613525;62656.40625;114418.03935241699;15061.9453125
34;23/07/2019;234080.45079040527;30424.90625;500554.28647613525;62504.0625;129254.25810241699;14272.8203125
34;24/07/2019;263162.3570404053;27857.203125;565089.7552261353;61915.3125;143651.539352417;14108.4453125
34;25/07/2019;296784.4351654053;32364.46875;632759.5677261353;64998.4375;160134.804977417;15799.53125
34;26/07/2019;328014.4664154053;29862.84375;699576.6927261353;64036.25;177105.633102417;16561.71875
34;27/07/2019;362844.6539154053;33436.59375;768376.9427261353;66153.6875;194945.336227417;17033.546875
34;28/07/2019;392111.3414154053;27892.46875;832802.7552261353;61852.8125;209759.211227417;14415.34375
34;29/07/2019;423776.5601654053;30622.34375;898698.3802261353;63297.4375;224301.164352417;13861.109375
34;30/07/2019;451510.9351654053;26525.03125;962153.5052261353;60851.875;237352.539352417;12766.140625
34;31/07/2019;483329.9039154053;30733.6875;1028744.8802261353;63917.75;252300.601852417;14410.875
34;01/08/2019;514218.4664154053;29657.5;1095910.3177261353;64555.875;268776.320602417;16060.09375
34;02/08/2019;554989.0862503052;39604.3385848999;1170503.5759887695;71892.88326263428;292821.7509460449;23407.52409362793
34;03/08/2019;588138.3635940552;31544.134765625;1238707.8201293945;65338.759765625;311730.2821960449;18243.47265625
34;04/08/2019;621985.2854690552;32748.53515625;1306877.9451293945;65397.7734375;328429.1220397949;16017.60546875
34;05/08/2019;652571.4782714844;29246.8099899292;1371810.106880188;62168.80237579346;344748.04582214355;15748.060501098633
34;06/08/2019;689146.7282714844;35374.712890625;1440947.614692688;66475.97265625;363654.19523620605;18080.5966796875
34;07/08/2019;722993.4587402344;32210.91796875;1508643.997505188;64655.0859375;374910.62492370605;10438.6171875
34;08/08/2019;763489.3337402344;39114.015625;1581529.028755188;69991;374910.62492370605;0
34;09/08/2019;795041.4743652344;30051.25;1648035.153755188;63686.5;374910.62492370605;0
34;10/08/2019;829856.3181152344;33423.359375;1716279.841255188;65344.65625;374910.62492370605;0
34;11/08/2019;860338.5993652344;29150.328125;1782178.872505188;63112.21875;374910.62492370605;0
34;12/08/2019;895264.4118652344;33694.53125;1850427.372505188;65616.90625;374910.62492370605;0
34;13/08/2019;926412.2868652344;29625.96875;1915681.810005188;62610.5;374910.62492370605;0
34;14/08/2019;957286.9431152344;29812.03125;1980905.122505188;62703;374910.62492370605;0
34;15/08/2019;984885.5368652344;26527.25;2044243.560005188;60842.3125;374910.62492370605;0
34;16/08/2019;1015047.6306152344;29205.5625;2108871.935005188;62037.875;374910.62492370605;0
34;17/08/2019;1043087.4743652344;26819.1875;2173135.810005188;61656.0625;374910.62492370605;0
34;18/08/2019;1075819.1931152344;31642;2240125.560005188;64411.6875;374910.62492370605;0
34;19/08/2019;1107111.3806152344;29779.65625;2306333.185005188;63597.1875;374910.62492370605;0
34;20/08/2019;1141298.2119140625;32981.925048828125;2373386.230705261;64335.54570007324;382638.5388183594;7727.91389465332
34;21/08/2019;1171787.6767578125;28954.791015625;2439458.119377136;63170.375;398833.9494628906;15635.4150390625
34;22/08/2019;1200748.5784454346;27764.53450012207;2497762.3476486206;55581.634521484375;413367.703704834;13863.44760131836
34;23/08/2019;1230775.5022735596;28553.77734375;2563570.8398361206;62968.1396484375;428874.46395874023;14959.713623046875
34;24/08/2019;1263814.8538360596;31970.46875;2630784.6210861206;64481.234375;444670.53622436523;15103.63671875
34;25/08/2019;1292935.1350860596;27732.8359375;2696054.5742111206;62572.203125;459342.76278686523;14134.08203125
34;26/08/2019;1325931.0100860596;32035.8046875;2763570.7148361206;64832.140625;475244.39559936523;15251.97265625
34;27/08/2019;1356917.1343917847;29616.889930725098;2829228.932258606;62747.31117248535;491797.3079223633;16002.603729248047
34;28/08/2019;1384463.5982589722;26316.49169921875;2886741.227180481;54717.3798828125;505362.1047973633;12771.87890625
34;29/08/2019;1401572.524772644;17108.926513671875;2920036.9138412476;33295.6866607666;513354.8782196045;7992.773422241211
34;30/08/2019;1430085.1702804565;27181.4521484375;2984629.1736068726;61877.044921875;525881.1790008545;12093.6953125
34;31/08/2019;1455765.8567123413;24567.803619384766;3042600.669052124;55402.159507751465;537153.271987915;10724.821502685547
34;01/09/2019;1481321.4309310913;24478.603515625;3104620.932723999;59368.50390625;547465.21925354;9911.75732421875
34;02/09/2019;1507439.5949935913;25009.10546875;3166971.471786499;59699.8046875;558362.6557769775;10365.3212890625
34;03/09/2019;1533547.4973373413;25018.8359375;3228742.659286499;59083.828125;569510.7026519775;10759.306640625
34;04/09/2019;1559743.4895248413;25242.7421875;3291231.190536499;59826.78125;580393.5503082275;10473.1171875
34;05/09/2019;1586031.7082748413;25185.28125;3353873.878036499;60143.78125;591244.2729644775;10453.98828125
34;06/09/2019;1611859.3488998413;24725.9375;3416041.565536499;59679.71875;601873.0229644775;10063.79296875
34;07/09/2019;1636448.7395248413;23520.84375;3477141.346786499;58520.75;611113.6089019775;8975.0390625
34;08/09/2019;1662053.5520248413;24635.671875;3539499.784286499;59702.34375;621308.7182769775;9658.40625
34;09/09/2019;1686484.7082748413;23506.359375;3600844.721786499;58912;630660.6557769775;9081.625
34;10/09/2019;1711403.8801498413;23943.921875;3661882.909286499;58491.5;640335.0151519775;9251.0078125
34;11/09/2019;1735843.2551498413;23480.71875;3723008.034286499;58750.25;649991.9682769775;9371.796875
34;12/09/2019;1763457.5051498413;26637.34375;3786835.471786499;61216.4375;662228.1245269775;11850.9921875
34;13/09/2019;1790544.3176498413;25836.0625;3850130.221786499;60825.25;674063.8901519775;11435.5546875
34;14/09/2019;1819228.9738998413;27599.8125;3915276.659286499;62592.375;687109.4682769775;12359.625
34;15/09/2019;1847072.7238998413;26815.65625;3980180.846786499;62261.9375;699615.1245269775;12084.5625
34;16/09/2019;1877238.3801498413;29066.25;4046273.221786499;63534.1875;714300.2495269775;14146.671875
34;17/09/2019;1906502.6613998413;28028.875;4111073.221786499;62246.5625;728038.1870269775;13314.984375
34;18/09/2019;1937908.9113998413;30202.28125;4178095.096786499;64240.25;743825.2339019775;15116.75
34;19/09/2019;1966457.8488998413;27336.1875;4242606.846786499;61863.125;756842.0151519775;12633.359375
34;20/09/2019;1995147.1613998413;27702.59375;4307006.471786499;61805.5;770199.5307769775;12783.296875
34;21/09/2019;2024924.7863998413;28560.5;4372791.471786499;63222;784610.3901519775;14001.953125
34;22/09/2019;2053754.3488998413;27584.1875;4437812.596786499;62151.25;797790.4057769775;12626.546875
34;23/09/2019;2081644.1613998413;26826.625;4501490.596786499;61076.25;810036.8745269775;11834.375
34;24/09/2019;2108303.0988998413;25566.1875;4564152.471786499;60150;821191.8432769775;10642.59375
34;25/09/2019;2133988.7863998413;24618.9375;4626407.096786499;59713.625;831487.0620269775;10035.78125
34;26/09/2019;2159543.7238998413;24597;4688539.846786499;59592.375;841852.6245269775;9796.4375
34;27/09/2019;2184301.8488998413;23657.9375;4750049.471786499;59067.25;851358.3432769775;9234.4375
34;28/09/2019;2209734.7863998413;24602.5625;4812170.596786499;59721.5;861420.7807769775;9653
34;29/09/2019;2234346.7863998413;23702.5625;4874192.846786499;59460.75;870924.3432769775;9214.25
34;30/09/2019;2259641.9738998413;24371.6875;4936128.471786499;59550.125;881002.3120269775;9510.09375
34;01/10/2019;2283810.8488998413;23104.5;4997005.221786499;58428.25;890394.4057769775;9112.5
34;02/10/2019;2309113.2238998413;24454.1875;5059107.096786499;59421.25;900312.1870269775;9525.25
34;03/10/2019;2332507.1613998413;22312.1875;5119737.221786499;58047.125;908591.9057769775;7998.8125
34;04/10/2019;2355833.734550476;22383.573150634766;5179972.24067688;57779.76889038086;917024.2468109131;8023.278533935547
34;05/10/2019;2378279.476737976;21490.90234375;5240643.13911438;58277.3125;924769.6008148193;7614.42822265625
34;06/10/2019;2401898.215019226;22703.51171875;5302052.02973938;58831.109375;933472.1555023193;8306.951171875
34;07/10/2019;2423793.718925476;20939.87890625;5360974.01411438;56467.484375;937962.0676116943;4221.919921875
34;08/10/2019;2445705.000175476;20919.8828125;5419382.02973938;55837.015625;942314.0519866943;4223.38671875
34;09/10/2019;2468133.890800476;21464.8125;5478645.93598938;56746.6875;947059.9797210693;4614.9609375
34;10/10/2019;2491395.593925476;22310.7890625;5538697.02973938;57596.5625;952643.2453460693;5293.24609375
34;11/10/2019;2513944.625175476;21605.234375;5598348.21723938;57359.875;957540.6008148193;4767.16015625
34;12/10/2019;2537363.843925476;22438.734375;5658829.99848938;58087.6875;963112.6828460693;5298.18359375
34;13/10/2019;2562608.437675476;24284.078125;5720713.65473938;59471.90625;970040.2648773193;6784.51171875
34;14/10/2019;2589172.640800476;25448.9375;5782928.21723938;59730.375;977927.0070648193;7464.16015625
34;15/10/2019;2614165.422050476;23948;5844056.71723938;58330.125;984723.4992523193;6375.5234375
34;16/10/2019;2637541.6319351196;22436.741134643555;5904194.103843689;57570.13660430908;990441.4891815186;5441.310241699219
34;17/10/2019;2660802.8545913696;22302.150390625;5964410.326499939;57746.55859375;995742.3224334717;5175.808349609375
34;18/10/2019;2683911.6709976196;22166.18359375;6024396.513999939;57508.28125;1001047.3483123779;5172.14599609375
34;19/10/2019;2708634.4170913696;23812.41796875;6085853.967124939;58986.125;1007551.8766326904;6234.517578125
34;20/10/2019;2734909.4014663696;25321.625;6148419.982749939;59914.75;1015187.4488983154;7348.859375
34;21/10/2019;2760704.9795913696;24864.375;6210603.857749939;59541.5625;1022521.4664764404;7064.513671875
34;22/10/2019;2786280.1983413696;24453.875;6271570.513999939;58589;1029866.6852264404;7067.015625
34;23/10/2019;2812667.9014663696;25277.234375;6333944.170249939;59720.8125;1037610.3922576904;7477.87109375
34;24/10/2019;2835796.7764663696;22040.328125;6394169.857749939;57512.09375;1042925.9430389404;4910.69921875
34;25/10/2019;2856441.3858413696;19706.90625;6452462.982749939;56054.34375;1046324.4274139404;3264.3125
34;26/10/2019;2876842.7608413696;19583.53125;6511244.232749939;56416.4375;1049584.4039764404;3128.05078125
34;27/10/2019;2897089.5420913696;19441.75;6569900.795249939;56267.9375;1052841.3024139404;3119.6796875
34;28/10/2019;2917411.3536605835;19473.124069213867;6628067.471572876;55516.73882293701;1056483.0924224854;3495.633758544922
34;29/10/2019;2937921.2403793335;19539.3916015625;6686387.596572876;55914.69140625;1060033.1738433838;3407.381591796875
34;30/10/2019;2958347.5645980835;19566.7265625;6745043.721572876;56277.3671875;1063295.84034729;3145.03955078125
34;31/10/2019;2979164.2677230835;20000.33984375;6804273.049697876;56718.796875;1066965.52003479;3539.91015625
34;01/11/2019;2999529.5020980835;19567.4140625;6863377.893447876;56648.1875;1070488.2378082275;3389.7841796875
34;02/11/2019;3020481.4395980835;20130.4921875;6923378.455947876;57518.96875;1074167.873550415;3529.0244140625
34;03/11/2019;3042390.4161605835;21075.9609375;6983629.955947876;57844.15625;1078784.77394104;4348.7265625
34;04/11/2019;3063711.2755355835;20378.03125;7043180.362197876;57173.6875;1082869.56300354;3940.291015625
34;05/11/2019;3085209.8849105835;20524.78125;7102318.674697876;56751.84375;1086954.814956665;3950.85546875
34;06/11/2019;3105883.6036605835;19870.65625;7161715.268447876;56887.0625;1090347.916519165;3261.40234375
34;07/11/2019;3125307.1036605835;18751.25;7220270.393447876;56212.6875;1093072.975112915;2585.0703125
34;08/11/2019;3144497.0567855835;18365.171875;7277706.768447876;54914.8125;1095660.885269165;2452.421875
34;09/11/2019;3162692.200996399;17256.87713623047;7335919.720802307;56025.576171875;1095922.7791290283;0
34;10/11/2019;3180767.042793274;17404.658203125;7394459.127052307;56038.62109375;1095922.7791290283;0
34;11/11/2019;3198459.273262024;16872.77734375;7452925.658302307;56230.7734375;1095922.7791290283;0
34;12/11/2019;3215858.921699524;16725.53125;7510715.205177307;55477.578125;1095922.7791290283;0
34;13/11/2019;3234095.570137024;17434.46875;7569039.080177307;55882.75;1095922.7791290283;0
34;14/11/2019;3252971.398262024;18077.2578125;7627740.017677307;56269.875;1095922.7791290283;0
34;15/11/2019;3272422.632637024;18635.140625;7686973.705177307;56722.75;1095922.7791290283;0
34;16/11/2019;3291736.359199524;18512;7746480.486427307;56860.09375;1095922.7791290283;0
34;17/11/2019;3309258.781074524;16725.734375;7805143.642677307;56211.59375;1095922.7791290283;0
34;18/11/2019;3326406.531074524;16464.140625;7862750.580177307;55100;1095922.7791290283;0
34;19/11/2019;3343544.702949524;16450.71875;7920074.267677307;55054.125;1095922.7791290283;0
34;20/11/2019;3360668.312324524;16438.875;7978029.455177307;55314.75;1095922.7791290283;0
34;21/11/2019;3378338.109199524;17002.046875;8036286.392677307;55997.3125;1095922.7791290283;0
34;22/11/2019;3396848.968574524;17690.03125;8095468.267677307;56710.3125;1095922.7791290283;0
34;23/11/2019;3415729.640449524;18081.6875;8154600.392677307;56496.625;1095922.7791290283;0
34;24/11/2019;3433964.234199524;17416.4375;8213681.705177307;56606.375;1095922.7791290283;0
34;25/11/2019;3451901.952949524;17256;8271602.017677307;55675.375;1095922.7791290283;0
34;26/11/2019;3470402.671699524;17677.9375;8330084.080177307;56085.625;1095922.7791290283;0
34;27/11/2019;3489028.327949524;17947.09375;8389177.205177307;56777;1095922.7791290283;0
34;28/11/2019;3508200.671699524;18354.125;8448499.955177307;56844.375;1095922.7791290283;0
34;29/11/2019;3526957.234199524;18102.53125;8507714.080177307;56825.375;1095922.7791290283;0
34;30/11/2019;3546127.421699524;18493.75;8567329.830177307;57134.75;1095922.7791290283;0
34;01/12/2019;3564902.796699524;18098.9375;8627548.580177307;57778.875;1095922.7791290283;0
34;02/12/2019;3584614.702949524;18906.40625;8687620.330177307;57456;1095922.7791290283;0
34;03/12/2019;3604033.265449524;18604.375;8747088.580177307;57001;1095922.7791290283;0
34;04/12/2019;3622146.984199524;17280.625;8806881.580177307;57488.125;1095922.7791290283;0
34;05/12/2019;3639662.796699524;16841.28125;8867694.955177307;58202.5;1095922.7791290283;0
34;06/12/2019;3657606.765449524;17266.40625;8929286.205177307;59229.625;1095922.7791290283;0
34;07/12/2019;3675575.640449524;17267.28125;8990963.830177307;59147.25;1095922.7791290283;0
34;08/12/2019;3694073.202949524;17821.8125;9052740.080177307;59140.25;1095922.7791290283;0
34;09/12/2019;3712145.702949524;17267.625;9113906.455177307;58615.875;1095922.7791290283;0
34;10/12/2019;3729260.96988678;16437.39193725586;9173466.252365112;57164.172187805176;1096334.3292694092;411.5501403808594
34;11/12/2019;3746129.2911758423;16187.94091796875;9234201.397872925;58239.681640625;1096878.3443756104;544.0151062011719
34;12/12/2019;3763115.0314102173;16309.619140625;9295063.350997925;58211.3203125;1097558.535293579;680.19091796875
34;13/12/2019;3780525.0821914673;16704.83984375;9355945.366622925;58324.5625;1098506.9808502197;948.445556640625
34;14/12/2019;3799567.8790664673;18368.79296875;9417658.272872925;59226.40625;1100952.6490631104;2306.5908203125
34;15/12/2019;3817117.0353164673;16866.2890625;9479188.444747925;58890.21875;1102181.539199829;1228.89013671875
34;16/12/2019;3835334.1681289673;17409.0859375;9540438.975997925;58693.625;1103803.156387329;1621.6171875
34;17/12/2019;3853804.5040664673;17808.65625;9601373.788497925;58524.3125;1105844.1558990479;2030.36083984375
34;18/12/2019;3871492.4415664673;16882.34375;9662102.882247925;58173.3125;1107483.5982818604;1502.2734375
34;19/12/2019;3886862.8321914673;14698.90625;9720670.007247925;56049.1875;1108163.2633209229;679.6650390625
