id_device;date;en_L1;cons_en_L1;en_L2;cons_en_L2;en_L3;cons_en_L3
34;01/07/2019;483329.9039154053;483329.9039154053;1028744.8802261353;1028744.8802261353;252300.601852417;252300.601852417
34;01/08/2019;1455765.8567123413;971204.890296936;3042600.669052124;2011246.2263259888;537153.271987915;284437.04513549805
34;01/09/2019;2259641.9738998413;802799.146484375;4936128.471786499;1890876.04296875;881002.3120269775;343448.85009765625
34;01/10/2019;2979164.2677230835;718457.9188232422;6804273.049697876;1865696.077911377;1066965.52003479;185683.6142578125
34;01/11/2019;3546127.421699524;566165.3336639404;8567329.830177307;1760600.1242294312;1095922.7791290283;28824.32550048828
34;01/12/2019;4117339.3946914673;570535.5354919434;10473027.944747925;1903258.2395706177;1130734.8902740479;34812.11114501953
34;01/01/2020;4649752.745552063;531595.5383605957;12345715.799125671;1869964.7293777466;1155888.002105713;25153.11183166504
34;01/02/2020;5157760.232681274;507340.1746292114;14053954.369911194;1705769.5082855225;1194065.0015411377;38176.999435424805
34;01/03/2020;5708293.413696289;549744.6399993896;15905981.676740646;1849520.5392513275;1249906.6174621582;55695.61128234863
34;01/04/2020;6310638.903442383;601515.4497070312;17726417.504865646;1817890.251953125;1351070.2132873535;101163.59582519531
34;01/05/2020;7164779.823760986;853324.6078186035;19509566.724523544;1780546.969657898;1545351.4424591064;194146.51042175293
34;01/06/2020;8348494.511138916;1182345.6014404297;21303581.89895439;1791627.4713058472;1735807.5607757568;190185.1554260254
34;01/07/2020;9760106.037506104;1409710.0341796875;23295641.49563408;1989357.6279296875;2095850.3039398193;359637.2861328125
34;01/08/2020;11261158.879302979;1499033.607421875;25384963.657011032;2086578.2863769531;2655161.687789917;558753.6182250977
34;01/09/2020;12518326.07095337;1255387.5041503906;27248677.677274704;1861348.7702636719;2914022.4865264893;258591.01748657227
34;01/10/2020;13681709.63345337;1161586.046875;29109817.802274704;1858337.625;3069978.7501983643;155709.095703125
34;01/11/2020;14739696.819610596;1056499.8111572266;30871784.182584763;1759559.1303100586;3141773.9787139893;71658.337890625
34;01/12/2020;15962704.632110596;1221783.25;32356985.151334763;1483001.84375;3166790.9132843018;25016.9345703125
34;01/01/2021;17222722.632110596;1258260.59375;33814882.37008476;1455736.5625;3180249.5343780518;13458.62109375
34;01/02/2021;18369048.600372314;1144571.7182617188;35143109.261686325;1326264.0166015625;3188814.607727051;8565.073348999023
34;01/03/2021;19353179.756622314;982490.90625;36270123.792936325;1125059.75;3212608.8259887695;23794.21826171875
192;01/06/2019;2998126.5;5996166.233100891;2259393.75;4518693.795204163;1648429.625;3296750.7917938232
192;01/07/2019;8159718.591781616;10308597.433563232;5761754.818695068;6993794.387390137;4422115.414131165;5539902.828262329
192;01/08/2019;13300811.722175598;5568293.880393982;9795735.125846863;4360490.557151794;7191629.015068054;3020489.8509368896
192;01/09/2019;17814363.7221756;4507037.5;13427930.625846863;3627523.25;9497106.515068054;2302410
192;01/10/2019;22191421.17235565;4371168.450180054;17054405.42604065;3621069.3001937866;11613136.426200867;2112717.6611328125
192;01/11/2019;26042299.17235565;3845391;20312194.98854065;3252564.9375;13191089.363700867;1575437.46875
192;01/12/2019;28377866.316589355;2329972.6442337036;22206580.548690796;1890208.3101501465;14663314.70640564;1470049.092704773
192;01/01/2020;31860654.691589355;3477760.125;24992622.423690796;2782572.5;16968066.08140564;2301294.375
192;01/02/2020;35306812.191589355;3441951;27853653.673690796;2856978.25;18491765.83140564;1521119.5
192;01/03/2020;39055231.191589355;3743648;30982167.673690796;3124022.5;20104184.83140564;1609994
192;01/04/2020;42898673.191589355;3837997;34206248.673690796;3220403;21904802.83140564;1798340
192;01/05/2020;47159206.099235535;4255567.907646179;37720397.59925079;3509279.9255599976;24181883.624671936;2274456.7932662964
192;01/06/2020;50723865.43778992;3559492.8385543823;41184598.99273682;3459233.143486023;27494902.446998596;3310543.57232666
192;01/07/2020;54625053.68778992;3895633.75;44740160.49273682;3551033.5;31544283.446998596;4044465
192;01/08/2020;58669979.68778992;4038539;48314198.99273682;3568889.5;35607014.196998596;4057458.25
192;01/09/2020;62150066.18778992;3479769;48413335.24273682;98808.5;39256190.446998596;3648841.25
192;01/10/2020;64933382.12528992;2778863.4375;48884638.93023682;471303.6875;42781325.884498596;3520094.4375
192;01/11/2020;67457923.18778992;2521584.8125;51995678.24273682;3106373.84375;45974597.946998596;3189314.90625
192;01/12/2020;69789194.68778992;2327577.75;55033440.74273682;3034317;49000471.946998596;3021746.25
192;01/01/2021;72124909.18778992;2333111.625;58057961.74273682;3019968.75;52028372.696998596;3023975.5
192;01/02/2021;74315815.93778992;2188359.625;60855228.74273682;2792919.375;54842600.696998596;2810296.5
192;01/03/2021;76205997.68778992;1886281.5;63281347.74273682;2422272;57270853.196998596;2423912.5
243;01/07/2019;2510602.7201538086;5021092.734436035;2270656.0910339355;4541198.012145996;915987.8178843409;2053194.545861885
243;01/08/2019;5359844.422569275;3084093.7024154663;4826226.13961792;2764321.1735839844;1704193.269987002;862173.4833526611
243;01/09/2019;8029261.140708923;2665992.4681396484;7227663.829612732;2398407.189994812;2371896.7374857813;666914.1393737793
243;01/10/2019;10530111.640708923;2497066.5;9607407.704612732;2376289.25;2894848.5812357813;522014.15625
