;history;predict
0;[8089.4906005859375, 8636.587768554688, 8692.9140625, 9073.194580078125, 8618.03759765625, 8587.87890625, 8575.38818359375, 7873.48779296875, 8054.802734375, 7773.0615234375, 8155.373046875, 7828.5556640625, 7689.8046875, 7867.4296875, 7595.349609375, 7259.8515625, 7580.7080078125, 7334.818359375, 7364.765625, 7266.951171875, 7813.150390625, 8639.048828125, 7168.703125, 11695.857421875, 9324.845703125, 9734.25390625, 9771.3515625, 9363.455078125, 8646.94140625, 9495.45703125, 9700.6171875, 8395.51171875, 8864.43359375, 9043.921875, 8539.34375, 8580.08203125, 8779.2265625, 8431.3515625, 8544.359375, 8692.3671875, 8322.80859375, 8021.73828125, 8089.453125, 8578.76953125, 8342.5703125, 8678.83203125, 9722.20703125, 9205.69140625, 9078.671875, 9465.14453125];[9595.19140625, 9219.6875, 9362.2421875, 9386.75390625, 9316.43359375, 8655.8828125, 9546.87109375, 8230.328125, 8850.5703125, 8851.9140625]
1;[9595.19140625, 9219.6875, 9362.2421875, 9386.75390625, 9316.43359375, 8655.8828125, 9546.87109375, 8230.328125, 8850.5703125, 8851.9140625, 8397.4375, 8351.078125, 8299.9296875, 8340.2109375, 8111.96875, 8022.28125, 8091.0703125, 8785.921875, 8526.7578125, 8536.5390625, 10195.7265625, 9548.375, 9196.8359375, 9707.8359375, 9741.140625, 8925.4921875, 10210.5859375, 9384.90625, 8856.2421875, 9811.7421875, 8991.203125, 9015.1640625, 9046.6484375, 8547.9765625, 8934.1640625, 8410.125, 9155.7109375, 8148.4140625, 7963.1796875, 9383.84375, 7560.2578125, 9503.5390625, 8923.3203125, 9501.7890625, 9454.9609375, 9243.6171875, 9788.453125, 9497.953125, 9696.28125, 9676.3984375];[9754.046875, 9247.625, 9625.9921875, 8970.0859375, 9303.84375, 8740.484375, 9402.921875, 8911.1015625, 8863.734375, 8956.15625]
2;[9754.046875, 9247.625, 9625.9921875, 8970.0859375, 9303.84375, 8740.484375, 9402.921875, 8911.1015625, 8863.734375, 8956.15625, 8702.703125, 8673.984375, 8934.703125, 8524.5625, 8359.59375, 9477.0, 8730.546875, 9235.78125, 9650.71875, 10052.265625, 9985.90625, 9806.875, 9986.671875, 9844.84375, 9353.34375, 9849.359375, 9456.5, 8702.921875, 9268.84375, 8841.421875, 8836.984375, 8906.09375, 8906.046875, 8628.328125, 8251.4375, 8529.625, 7996.046875, 8046.015625, 7545.90625, 9065.15625, 8260.9375, 8771.171875, 10039.640625, 9866.78125, 9948.265625, 10198.8125, 9902.578125, 9655.078125, 9847.296875, 9850.703125];[8706.421875, 9373.71875, 9171.921875, 8937.71875, 9676.9375, 9354.75, 8644.703125, 8486.265625, 7967.125, 8004.5]
3;[8706.421875, 9373.71875, 9171.921875, 8937.71875, 9676.9375, 9354.75, 8644.703125, 8486.265625, 7967.125, 8004.5, 7549.4375, 7543.78125, 7914.90625, 7259.515625, 7692.234375, 8044.90625, 7833.765625, 8109.625, 7979.8125, 9028.625, 8305.1875, 8468.640625, 8961.0625, 8497.5, 8055.578125, 8259.046875, 8277.53125, 7934.671875, 8550.515625, 8359.640625, 8187.609375, 7936.515625, 229247.1169108301, 7714.46875, 7919.84375, 7858.21875, 7303.140625, 7410.921875, 7722.4375, 7704.234375, 8007.328125, 8163.984375, 8275.59375, 8558.28125, 8735.125, 8518.140625, 9086.6875, 8277.484375, 8903.046875, 8353.484375];[7949.671875, 7978.03125, 8338.671875, 8113.6875, 7519.78125, 8127.859375, 7548.140625, 7788.21875, 8252.015625, 7245.65625]
4;[7949.671875, 7978.03125, 8338.671875, 8113.6875, 7519.78125, 8127.859375, 7548.140625, 7788.21875, 8252.015625, 7245.65625, 7710.3125, 7369.0, 8312.09375, 8371.859375, 8108.875, 9978.6875, 8934.625, 9328.890625, 9486.5625, 9055.75, 9006.484375, 9472.46875, 8909.886856079102, 8563.281799316406, 9428.47509765625, 8361.994873046875, 8493.63916015625, 8808.07275390625, 9230.4521484375, 7793.75830078125, 8113.0849609375, 7581.380859375, 7990.0888671875, 8159.73046875, 7655.173828125, 7351.5673828125, 8604.4501953125, 8293.037109375, 8771.822265625, 8605.36328125, 8561.8671875, 8719.677734375, 8560.15625, 9155.333984375, 8670.431640625, 8591.55078125, 8945.62890625, 8093.26953125, 7959.78125, 8023.314453125];[8315.19921875, 7362.810546875, 8903.212890625, 7706.326171875, 8043.6796875, 7735.01171875, 7923.26171875, 7645.921875, 7642.73828125, 7906.24609375]
5;[8315.19921875, 7362.810546875, 8903.212890625, 7706.326171875, 8043.6796875, 7735.01171875, 7923.26171875, 7645.921875, 7642.73828125, 7906.24609375, 7866.375, 7922.41796875, 7859.12890625, 8395.28125, 8257.3984375, 7975.203125, 8541.11328125, 8306.0078125, 7949.76171875, 8607.1328125, 7763.2421875, 7854.984375, 7312.91796875, 8827.140625, 8073.98828125, 7414.0859375, 8820.76171875, 7371.53125, 8006.94921875, 7431.99609375, 7840.02734375, 7589.265625, 7040.25390625, 7586.609375, 5411.578125, 7226.68359375, 7712.4296875, 7365.49609375, 7634.3046875, 7885.9765625, 7667.5859375, 7790.9375, 7830.6796875, 7629.1015625, 7665.9609375, 7756.515625, 8133.46875, 7385.28125, 7913.8359375, 7806.7265625];[7463.796875, 7258.234375, 7517.1796875, 7608.71875, 7145.7265625, 7394.09375, 7455.265625, 7024.171875, 6785.078125, 7687.984375]
6;[7463.796875, 7258.234375, 7517.1796875, 7608.71875, 7145.7265625, 7394.09375, 7455.265625, 7024.171875, 6785.078125, 7687.984375, 7298.7578125, 7459.3203125, 7665.546875, 7557.8671875, 7978.65625, 7798.484375, 7876.46875, 7968.0390625, 7591.6015625, 7928.9453125, 8151.75, 7251.1953125, 8267.3515625, 7727.4453125, 7426.328125, 7647.1875, 7645.1953125, 7755.6875, 7332.9921875, 7389.0703125, 7317.7265625, 7331.65625, 7412.2265625, 7533.921875, 7382.3359375, 7910.9375, 8314.171875, 8111.7265625, 7918.21875, 8691.9453125, 7831.1171875, 8017.2421875, 8109.1796875, 7615.5234375, 8106.546875, 8331.5078125, 7493.1171875, 7874.3984375, 7973.734375, 7734.0078125];[7757.859375, 7379.2421875, 7882.90625, 7315.71875, 7150.296875, 7091.3515625, 7538.078125, 7174.578125, 7688.7109375, 8208.609375]
7;[7757.859375, 7379.2421875, 7882.90625, 7315.71875, 7150.296875, 7091.3515625, 7538.078125, 7174.578125, 7688.7109375, 8208.609375, 7866.6015625, 8016.78125, 8203.9765625, 8508.875, 8354.4921875, 8075.640625, 8072.5, 8010.84375, 8081.390625, 8021.078125, 8078.640625, 7188.921875, 8605.234375, 7281.125, 8037.859375, 8025.78125, 7521.15625, 7490.921875, 7278.390625, 7635.109375, 7812.0, 7849.453125, 8257.203125, 8296.34375, 8508.578125, 9137.09375, 8601.0625, 8793.078125, 8696.125, 8853.921875, 8274.96875, 8232.515625, 8543.390625, 8279.109375, 7959.09375, 8116.765625, 8017.453125, 7565.765625, 8183.203125, 8008.828125];[7871.4375, 7392.3125, 8134.9375, 7496.46875, 8169.734375, 8332.25, 8164.59375, 8599.65625, 8650.390625, 9001.484375]
8;[7871.4375, 7392.3125, 8134.9375, 7496.46875, 8169.734375, 8332.25, 8164.59375, 8599.65625, 8650.390625, 9001.484375, 8711.390625, 8817.21875, 9556.21875, 8313.078125, 8650.34375, 8366.359375, 8193.640625, 7965.421875, 8466.359375, 7931.828125, 7852.078125, 8534.03125, 7934.828125, 7898.203125, 7920.546875, 7953.15625, 7341.890625, 7467.078125, 8349.015625, 7786.46875, 7951.953125, 8852.28125, 8417.1875, 8274.609375, 8617.28125, 8839.296875, 8694.6875, 8213.53125, 7949.9375, 8831.015625, 8118.1875, 8002.921875, 8578.578125, 8150.609375, 7850.78125, 8170.828125, 7491.609375, 7986.96875, 7836.46875, 7464.21875];[7543.609375, 7754.359375, 5537.375, 7927.140625, 8230.703125, 9273.75, 8828.40625, 8678.015625, 9131.6875, 8605.609375]
9;[7543.609375, 7754.359375, 5537.375, 7927.140625, 8230.703125, 9273.75, 8828.40625, 8678.015625, 9131.6875, 8605.609375, 9119.71875, 9035.203125, 8558.234375, 8306.265625, 8519.296875, 8514.5625, 8195.171875, 8535.765625, 8476.3125, 8532.59375, 8161.8125, 8394.296875, 7952.140625, 7869.265625, 7734.1875, 7895.5, 7771.09375, 8499.21875, 8351.53125, 8764.171875, 8116.421875, 9182.8125, 8193.75, 8765.15625, 8865.390625, 8305.421875, 8527.875, 7937.96875, 8565.0625, 7820.28125, 7863.625, 8352.734375, 7643.359375, 7869.5, 8245.625, 7737.03125, 7888.8125, 7210.53125, 7429.8125, 8215.8125];[7585.28125, 8631.34375, 8068.84375, 8665.0625, 8780.9375, 8828.46875, 9244.78125, 9078.875, 9271.34375, 8553.34375]
