,num_device,date,en_L1,cons_en_L1,en_L2,cons_en_L2,en_L3,cons_en_L3,hour,day,month,year,cons_glbal
4055,34,2020-02-01 00:00:00,4136776.8946914673,815.0625,10540824.194747925,2481.25,1131414.249649048,0.0,0,Saturday,2,2020,3296.3125
4056,34,2020-02-01 01:00:00,4137593.3321914673,816.4375,10543523.944747925,2699.75,1131414.249649048,0.0,1,Saturday,2,2020,3516.1875
4057,34,2020-02-01 02:00:00,4138269.5196914673,676.1875,10546002.944747925,2479.0,1131414.249649048,0.0,2,Saturday,2,2020,3155.1875
4058,34,2020-02-01 03:00:00,4139086.7696914673,817.25,10548538.694747925,2535.75,1131414.249649048,0.0,3,Saturday,2,2020,3353.0
4059,34,2020-02-01 04:00:00,4139763.0196914673,676.25,10551017.069747925,2478.375,1131550.550430298,136.30078125,4,Saturday,2,2020,3290.92578125
4060,34,2020-02-01 05:00:00,4140578.3634414673,815.34375,10553710.444747925,2693.375,1131550.550430298,0.0,5,Saturday,2,2020,3508.71875
4061,34,2020-02-01 06:00:00,4141259.9259414673,681.5625,10556331.944747925,2621.5,1131550.550430298,0.0,6,Saturday,2,2020,3303.0625
4062,34,2020-02-01 07:00:00,4142088.6446914673,828.71875,10558682.319747925,2350.375,1131550.550430298,0.0,7,Saturday,2,2020,3179.09375
4063,34,2020-02-01 08:00:00,4142740.6446914673,652.0,10561419.944747925,2737.625,1131550.550430298,0.0,8,Saturday,2,2020,3389.625
4064,34,2020-02-01 09:00:00,4143556.9259414673,816.28125,10564223.069747925,2803.125,1131550.550430298,0.0,9,Saturday,2,2020,3619.40625
4065,34,2020-02-01 10:00:00,4144250.9884414673,694.0625,10566716.819747925,2493.75,1131686.605117798,136.0546875,10,Saturday,2,2020,3323.8671875
4066,34,2020-02-01 11:00:00,4144917.5196914673,666.53125,10569305.444747925,2588.625,1131686.605117798,0.0,11,Saturday,2,2020,3255.15625
4067,34,2020-02-01 12:00:00,4145615.8321914673,698.3125,10571827.819747925,2522.375,1131686.605117798,0.0,12,Saturday,2,2020,3220.6875
4068,34,2020-02-01 13:00:00,4146282.6759414673,666.84375,10574390.069747925,2562.25,1131686.605117798,0.0,13,Saturday,2,2020,3229.09375
4069,34,2020-02-01 14:00:00,4146979.5509414673,696.875,10576782.319747925,2392.25,1131686.605117798,0.0,14,Saturday,2,2020,3089.125
4070,34,2020-02-01 15:00:00,4147798.0196914673,818.46875,10579440.944747925,2658.625,1131691.359024048,4.75390625,15,Saturday,2,2020,3481.84765625
4071,34,2020-02-01 16:00:00,4148456.7071914673,658.6875,10582027.069747925,2586.125,1131823.077774048,131.71875,16,Saturday,2,2020,3376.53125
4072,34,2020-02-01 17:00:00,4149278.1134414673,821.40625,10584623.819747925,2596.75,1131823.077774048,0.0,17,Saturday,2,2020,3418.15625
4073,34,2020-02-01 18:00:00,4149958.3009414673,680.1875,10587452.444747925,2828.625,1131823.077774048,0.0,18,Saturday,2,2020,3508.8125
4074,34,2020-02-01 19:00:00,4150781.3009414673,823.0,10589984.819747925,2532.375,1131823.077774048,0.0,19,Saturday,2,2020,3355.375
4075,34,2020-02-01 20:00:00,4151461.0196914673,679.71875,10592546.069747925,2561.25,1131823.077774048,0.0,20,Saturday,2,2020,3240.96875
4076,34,2020-02-01 21:00:00,4152285.7071914673,824.6875,10595289.194747925,2743.125,1131959.030899048,135.953125,21,Saturday,2,2020,3703.765625
4077,34,2020-02-01 22:00:00,4152933.9571914673,648.25,10597891.319747925,2602.125,1131959.030899048,0.0,22,Saturday,2,2020,3250.375
4078,34,2020-02-01 23:00:00,4153755.8634414673,821.90625,10600508.569747925,2617.25,1131959.030899048,0.0,23,Saturday,2,2020,3439.15625
4079,34,2020-03-01 00:00:00,4154576.9884414673,821.125,10603039.194747925,2530.625,1131959.030899048,0.0,0,Sunday,3,2020,3351.75
4080,34,2020-03-01 01:00:00,4155258.4259414673,681.4375,10605682.819747925,2643.625,1131959.030899048,0.0,1,Sunday,3,2020,3325.0625
4081,34,2020-03-01 02:00:00,4156080.0196914673,821.59375,10608065.194747925,2382.375,1131959.030899048,0.0,2,Sunday,3,2020,3203.96875
